timestamp,open,high,low,close,volume
2020-04-22,119.9900,120.2800,118.7800,119.3700,8055535
2020-04-21,119.5000,120.3000,118.4300,119.6800,9368762
2020-04-20,121.4700,123.2300,120.5400,120.6000,10827744
2020-04-17,122.4500,124.9900,120.5400,124.6900,15897890
2020-04-16,122.3500,122.5000,119.9000,121.5000,11975467
2020-04-15,120.8600,123.4200,119.5900,121.2200,14174723
2020-04-14,118.7600,121.4700,116.2500,120.9600,10470763
2020-04-13,113.6100,116.7500,113.1600,115.9500,7911132
2020-04-09,115.2600,118.6550,114.2000,114.6600,12747011
2020-04-08,114.3900,117.3000,111.8600,115.1000,12563977
2020-04-07,116.7100,120.0600,112.5000,112.7700,14435950
2020-04-06,117.0000,119.0000,114.5800,117.8100,16846908
2020-04-03,113.7400,115.9000,113.0100,115.0800,7768513
2020-04-02,107.6900,114.9900,107.5000,114.4000,9167662
2020-04-01,107.9500,112.1800,107.0000,109.3300,11092492
2020-03-31,113.5000,114.2900,108.9500,110.0000,21684183
2020-03-30,113.9000,115.7900,110.2001,115.0000,14568010
2020-03-27,106.4900,114.2900,106.4900,110.1700,16072583
2020-03-26,103.8800,108.3100,102.5300,107.3800,15794283
2020-03-25,100.5100,104.7000,98.6000,100.9200,13787436
2020-03-24,101.2300,104.0000,96.0700,103.2700,14622330
2020-03-23,100.1900,103.7500,94.3400,97.7000,17772190
2020-03-20,109.1900,109.7000,101.5900,102.4300,19918850
2020-03-19,116.6100,118.0000,109.7901,110.8300,16427034
2020-03-18,113.0200,121.5000,112.0900,117.4500,23060349
2020-03-17,111.4500,119.7000,110.7701,118.2400,19431050
2020-03-16,101.7500,115.9500,101.0000,108.5000,17354933
2020-03-13,106.5000,114.6300,105.4123,114.0700,17232526
2020-03-12,103.0000,111.5800,101.0000,101.8400,20977097
2020-03-11,117.6000,118.4400,110.6800,111.5900,16405659
2020-03-10,118.9600,120.8200,114.4400,120.5500,11418302
2020-03-09,115.2700,120.0300,115.1200,116.0600,13108047
2020-03-06,118.0300,122.6100,117.5500,121.6600,9816841
2020-03-05,121.3000,122.9000,120.2800,121.6300,9363472
2020-03-04,119.8800,124.6900,119.6000,124.5000,9459193
2020-03-03,119.7300,121.8400,117.1350,118.1700,12510139
2020-03-02,113.1900,119.7900,112.5500,119.5600,12396701
2020-02-28,109.4600,113.2300,106.6700,113.2300,22784231
2020-02-27,119.1200,119.9200,113.4300,113.5000,13296811
2020-02-26,121.4200,122.3900,119.8500,120.1600,6889333
2020-02-25,123.0200,123.9600,120.8800,121.4300,8903063
2020-02-24,125.2600,126.5850,123.1400,123.3000,7533813
2020-02-21,126.1300,128.0700,125.9800,126.7000,8723867
2020-02-20,125.4700,126.7600,125.1300,126.5800,6094584
2020-02-19,124.8500,126.4700,124.6500,125.4400,4733009
2020-02-18,125.8300,126.1800,124.8300,124.8700,6767599
2020-02-14,125.2900,126.1500,124.7900,126.1400,5889118
2020-02-13,123.7300,125.2800,123.5200,124.9600,7158978
2020-02-12,123.6800,123.9700,122.8500,123.4500,6031715
2020-02-11,126.2700,126.2700,124.0300,124.1600,6104952
2020-02-10,126.4600,126.8300,125.7600,126.1700,5216051
2020-02-07,127.1900,127.2700,126.0500,126.0800,5915099
2020-02-06,126.9000,128.0900,126.6000,127.1400,9101130
2020-02-05,125.9100,127.0600,125.4000,126.8100,6125374
2020-02-04,125.7100,127.3500,125.3600,125.6600,6511673
2020-02-03,124.6600,125.9500,124.4900,125.1100,6052347
2020-01-31,125.9900,126.9500,124.4600,124.6200,6612044
2020-01-30,124.7900,126.0600,124.4200,125.9500,5894323
2020-01-29,125.9100,126.0700,125.0250,125.0600,5271002
2020-01-28,125.9300,126.9800,125.7200,126.0300,6200225
2020-01-27,124.7500,126.3900,124.7500,125.6900,9338366
2020-01-24,125.2200,126.7900,124.7700,125.1400,9507926
2020-01-23,124.3000,126.5500,123.6500,124.9900,11094894
2020-01-22,126.3300,126.6795,125.8300,126.3100,7389885
2020-01-21,126.4100,126.6200,124.8400,126.0900,8553058
2020-01-17,126.3500,127.0000,125.8800,126.4100,11314279
2020-01-16,126.1100,126.7800,125.5900,126.0700,6233709
2020-01-15,125.0600,126.1200,125.0100,125.9600,4843703
2020-01-14,124.6500,125.2000,124.4800,124.6900,7829661
2020-01-13,124.0000,124.9000,123.8100,124.8800,8409206
2020-01-10,123.9000,124.3200,123.2950,123.9700,3927056
2020-01-09,122.5100,123.8800,122.5100,123.8500,5943993
